都道府県名,人口（男性）,人口（女）,人口（合計）
国内合計,61349581,64796518,126146099
北海道,2465088,2759526,5224614
青森県,583402,654582,1237984
岩手県,582952,627582,1210534
宮城県,1122598,1179398,2301996
秋田県,452439,507063,959502
山形県,516438,551589,1068027
福島県,903864,929288,1833152
茨城県,1430976,1436033,2867009
栃木県,964930,968216,1933146
群馬県,959411,979699,1939110
埼玉県,3652169,3692596,7344765
千葉県,3117987,3166493,6284480
東京都,6898388,7149206,14047594
神奈川県,4588268,4649069,9237337
新潟県,1068670,1132602,2201272
富山県,502637,532177,1034814
石川県,549771,582755,1132526
福井県,373973,392890,766863
山梨県,397309,412665,809974
長野県,1000389,1047622,2048011
岐阜県,960436,1018306,1978742
静岡県,1791118,1842084,3633202
愛知県,3761502,3780913,7542415
三重県,864475,905779,1770254
滋賀県,697429,716181,1413610
京都府,1231468,1346619,2578087
大阪府,4235956,4601729,8837685
兵庫県,2599756,2865246,5465002
奈良県,623926,700547,1324473
和歌山県,435051,487533,922584
鳥取県,264432,288975,553407
島根県,324291,346835,671126
岡山県,908045,980387,1888432
広島県,1357156,1442546,2799702
山口県,636736,705323,1342059
徳島県,343265,376294,719559
香川県,459197,491047,950244
愛媛県,633062,701779,1334841
高知県,326531,364996,691527
福岡県,2430951,2704263,5135214
佐賀県,384451,426991,811442
長崎県,616912,695405,1312317
熊本県,822481,915820,1738301
大分県,533414,590438,1123852
宮崎県,504763,564813,1069576
鹿児島県,748306,839950,1588256
沖縄県,722812,744668,1467480
